epiweek,time_value,issue,geo_type,geo_value,week,weekorder,sarscov2_tests,sarscov2_positive_tests,flu_tests,flu_positive_tests,fluah1n1pdm09_positive_tests,fluah3_positive_tests,fluauns_positive_tests,flua_positive_tests,flub_positive_tests,rsv_tests,rsv_positive_tests,hpiv_tests,hpiv1_positive_tests,hpiv2_positive_tests,hpiv3_positive_tests,hpiv4_positive_tests,hpivother_positive_tests,adv_tests,adv_positive_tests,hmpv_tests,hmpv_positive_tests,evrv_tests,evrv_positive_tests,hcov_tests,hcov_positive_tests,year
202435,2024-08-31,2025-02-20,lab,montérégie,35,1,1335,311,1130,1,0,0,1,1,0,1130,5,8,0,0,0,0,0,8,0,8,0,15,1,8,0,2024
202435,2024-08-31,2025-02-20,province,qc,35,1,9440,2147,6044,9,0,0,7,7,2,5098,57,1456,8,6,6,6,0,1473,21,1448,11,1523,184,1400,16,2024
202435,2024-08-31,2025-02-20,lab,ottawa phl,35,1,148,80,105,0,0,0,0,0,0,105,0,56,0,0,0,0,4,56,0,56,0,56,3,56,0,2024
202435,2024-08-31,2025-02-20,lab,eorla,35,1,802,85,383,0,0,0,0,0,0,383,2,29,0,0,0,0,0,29,0,29,0,29,6,29,0,2024
202435,2024-08-31,2025-02-20,lab,kingston phl,35,1,260,106,149,0,0,0,0,0,0,149,1,63,0,0,0,0,0,63,0,63,0,63,0,63,1,2024
202435,2024-08-31,2025-02-20,lab,peterborough phl,35,1,68,35,73,0,0,0,0,0,0,73,2,40,0,0,0,0,1,40,0,40,0,40,1,40,1,2024
202435,2024-08-31,2025-02-20,lab,cphl toronto,35,1,364,84,629,4,6,1,0,4,0,629,0,583,0,0,0,0,24,583,6,583,7,583,76,583,3,2024
202435,2024-08-31,2025-02-20,lab,uhn mount sinai hospital,35,1,936,79,903,2,0,0,1,1,1,903,0,87,0,0,2,1,0,87,0,87,0,87,6,87,0,2024
202435,2024-08-31,2025-02-20,lab,sick kids hospital toronto,35,1,83,9,133,0,0,0,0,0,0,133,0,133,0,3,0,0,0,133,2,133,0,133,18,133,0,2024
202435,2024-08-31,2025-02-20,lab,shared hospital laboratory,35,1,1427,164,1006,2,1,0,1,2,0,1006,4,980,0,0,0,0,11,980,2,1004,0,1004,39,1004,1,2024
202435,2024-08-31,2025-02-20,lab,hamilton phl,35,1,48,10,46,7,0,7,0,7,0,46,0,40,0,0,0,0,1,40,1,40,0,40,5,40,0,2024
202435,2024-08-31,2025-02-20,lab,st josephs hamilton,35,1,1443,148,1341,4,0,0,4,4,0,1341,3,1341,0,0,3,0,0,1341,0,1341,0,1341,75,0,0,2024
202435,2024-08-31,2025-02-20,lab,london phl,35,1,231,86,221,0,0,0,0,0,0,221,0,185,0,0,0,0,3,185,1,185,0,185,11,185,1,2024
202435,2024-08-31,2025-02-20,lab,st josephs london,35,1,490,77,69,1,0,0,0,0,1,69,1,68,0,0,0,0,0,68,1,68,0,68,6,68,1,2024
202435,2024-08-31,2025-02-20,lab,orillia phl,35,1,21,13,16,0,0,0,0,0,0,16,0,15,0,0,0,0,0,15,0,15,0,15,2,15,0,2024
202435,2024-08-31,2025-02-20,lab,sudbury phl,35,1,11,1,16,0,0,0,0,0,0,16,0,11,0,0,0,0,0,11,0,11,0,11,1,11,0,2024
202435,2024-08-31,2025-02-20,lab,timmins phl,35,1,28,4,25,0,0,0,0,0,0,25,0,10,0,0,0,0,0,10,1,10,0,10,1,10,0,2024
202435,2024-08-31,2025-02-20,lab,sault ste marie phl,35,1,3,0,5,0,0,0,0,0,0,5,0,5,0,0,0,0,1,5,0,5,0,5,0,5,0,2024
202435,2024-08-31,2025-02-20,lab,sault area hospital,35,1,76,8,64,0,0,0,0,0,0,64,0,56,0,0,0,1,0,56,0,56,0,56,3,56,0,2024
202435,2024-08-31,2025-02-20,lab,thunder bay phl,35,1,20,6,21,0,0,0,0,0,0,21,0,21,0,0,0,0,2,21,0,21,0,21,1,21,0,2024
202435,2024-08-31,2025-02-20,province,on,35,1,6459,995,5205,20,7,8,6,18,2,5205,13,3723,0,3,5,2,47,3723,14,3747,7,3747,254,2406,8,2024
202435,2024-08-31,2025-02-20,province,mb,35,1,1095,188,321,0,0,0,0,0,0,321,1,43,1,0,2,0,0,43,1,83,0,43,11,83,0,2024
202435,2024-08-31,2025-02-20,province,sk,35,1,1272,149,868,32,14,0,17,31,1,776,2,322,0,1,0,1,0,322,10,322,1,322,43,322,0,2024
202435,2024-08-31,2025-02-20,province,ab,35,1,3141,320,936,8,5,3,0,8,0,849,1,849,3,4,1,1,0,849,9,788,1,843,119,849,3,2024
202435,2024-08-31,2025-02-20,region,prairies,35,1,5508,657,2125,40,19,3,17,39,1,1946,4,1214,4,5,3,2,0,1214,20,1193,2,1208,173,1254,3,2024
202435,2024-08-31,2025-02-20,province,bc,35,1,2571,484,2517,35,11,2,2,34,1,2517,12,621,3,0,5,1,0,621,2,621,9,617,55,617,1,2024
202435,2024-08-31,2025-02-20,province,yt,35,1,46,10,24,0,0,0,0,0,0,24,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024
202435,2024-08-31,2025-02-20,province,nt,35,1,26,8,26,0,0,0,0,0,0,26,0,NA,NA,NA,NA,NA,NA,26,0,26,0,26,11,NA,NA,2024
202435,2024-08-31,2025-02-20,province,nu,35,1,107,5,82,0,0,0,0,0,0,82,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024
202435,2024-08-31,2025-02-20,region,territories,35,1,179,23,132,0,0,0,0,0,0,132,0,NA,NA,NA,NA,NA,NA,26,0,26,0,26,11,NA,NA,2024
202435,2024-08-31,2025-02-20,nation,ca,35,1,27090,4824,18265,106,37,13,33,99,7,17044,88,7590,18,14,21,14,47,7633,67,7611,30,7697,734,6253,31,2024
202436,2024-09-07,2025-02-20,province,nl,36,2,511,74,417,0,0,0,0,0,0,417,0,417,3,0,0,4,0,417,4,417,2,417,46,417,1,2024
202436,2024-09-07,2025-02-20,province,pe,36,2,123,25,38,0,0,0,0,0,0,38,0,11,0,0,0,0,0,11,1,11,0,11,4,11,0,2024
202436,2024-09-07,2025-02-20,province,ns,36,2,1205,228,1162,2,0,0,2,2,0,1115,0,44,0,0,0,0,0,44,0,44,0,44,7,44,0,2024
202436,2024-09-07,2025-02-20,province,nb,36,2,1064,176,648,0,0,0,0,0,0,648,0,105,0,0,0,0,0,105,3,105,0,105,16,105,1,2024
202436,2024-09-07,2025-02-20,region,atlantic,36,2,2903,503,2265,2,0,0,2,2,0,2218,0,577,3,0,0,4,0,577,8,577,2,577,73,577,2,2024
202436,2024-09-07,2025-02-20,lab,région nord est,36,2,1322,271,1140,1,0,0,1,1,0,472,4,112,0,0,1,1,0,112,2,98,1,112,24,112,1,2024
202436,2024-09-07,2025-02-20,lab,québec chaudière appalaches,36,2,1436,286,1064,8,0,0,4,4,4,1063,20,507,3,1,0,1,0,524,12,507,0,529,82,433,15,2024
202436,2024-09-07,2025-02-20,lab,centre du québec,36,2,2251,572,806,1,0,0,1,1,0,589,11,38,0,1,0,0,0,38,1,38,0,38,8,40,1,2024
202436,2024-09-07,2025-02-20,lab,montréal laval,36,2,1911,377,1390,10,0,0,10,10,0,1230,12,720,7,2,3,2,0,720,7,724,2,750,66,720,4,2024
202436,2024-09-07,2025-02-20,lab,ouest du québec,36,2,1397,334,647,2,0,0,2,2,0,646,3,29,0,1,0,0,0,29,0,29,0,26,7,29,0,2024
202436,2024-09-07,2025-02-20,lab,montérégie,36,2,1416,340,1031,0,0,0,0,0,0,1030,10,6,0,0,0,0,0,6,0,6,0,14,1,6,0,2024
202436,2024-09-07,2025-02-20,province,qc,36,2,9733,2180,6078,22,0,0,18,18,4,5030,60,1412,10,5,4,4,0,1429,22,1402,3,1469,188,1340,21,2024
202436,2024-09-07,2025-02-20,lab,ottawa phl,36,2,115,52,123,0,0,0,0,0,0,123,0,92,0,0,0,0,4,92,0,92,1,92,3,92,2,2024
202436,2024-09-07,2025-02-20,lab,eorla,36,2,682,82,425,1,0,0,1,1,0,425,1,58,1,0,2,0,0,58,1,58,0,58,8,58,1,2024
202436,2024-09-07,2025-02-20,lab,kingston phl,36,2,201,129,105,0,0,0,0,0,0,105,0,67,0,0,0,0,0,67,0,67,0,67,0,67,0,2024
202436,2024-09-07,2025-02-20,lab,peterborough phl,36,2,54,29,93,3,1,1,1,3,0,93,2,58,0,0,0,0,1,58,1,58,0,58,4,58,0,2024
202436,2024-09-07,2025-02-20,lab,cphl toronto,36,2,372,121,642,0,2,1,0,0,0,643,0,571,0,0,0,0,29,571,4,570,5,571,55,570,3,2024
202436,2024-09-07,2025-02-20,lab,uhn mount sinai hospital,36,2,867,96,831,2,0,0,2,2,0,831,0,55,0,0,0,0,0,55,0,55,0,55,3,55,0,2024
202436,2024-09-07,2025-02-20,lab,sick kids hospital toronto,36,2,83,1,119,0,0,0,0,0,0,119,2,119,0,3,3,1,0,119,3,119,0,119,28,119,0,2024
202436,2024-09-07,2025-02-20,lab,shared hospital laboratory,36,2,1193,109,902,1,0,1,0,1,0,904,4,872,0,0,0,0,6,871,2,897,2,897,32,896,1,2024
202436,2024-09-07,2025-02-20,lab,hamilton phl,36,2,51,31,69,0,0,0,0,0,0,69,0,62,0,0,0,0,2,62,3,62,0,62,7,62,0,2024
202436,2024-09-07,2025-02-20,lab,st josephs hamilton,36,2,1319,121,1257,1,0,0,1,1,0,1257,4,1257,0,0,7,0,0,1257,1,1257,1,1257,70,0,0,2024
202436,2024-09-07,2025-02-20,lab,london phl,36,2,197,80,181,1,0,1,0,1,0,181,0,151,0,0,0,0,4,151,0,151,0,151,6,151,1,2024
202436,2024-09-07,2025-02-20,lab,st josephs london,36,2,549,80,48,0,0,0,0,0,0,48,0,49,0,0,0,0,0,49,0,49,0,49,3,49,0,2024
202436,2024-09-07,2025-02-20,lab,orillia phl,36,2,5,4,10,0,0,0,0,0,0,10,0,10,0,0,0,0,0,10,0,10,0,10,0,10,0,2024
202436,2024-09-07,2025-02-20,lab,sudbury phl,36,2,9,4,10,0,0,0,0,0,0,10,0,7,0,0,0,0,0,7,0,7,0,7,0,7,1,2024
202436,2024-09-07,2025-02-20,lab,timmins phl,36,2,22,4,22,0,0,0,0,0,0,22,0,17,0,0,0,0,0,17,0,17,0,17,1,17,0,2024
202436,2024-09-07,2025-02-20,lab,sault ste marie phl,36,2,1,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,3,0,3,0,3,0,2024
202436,2024-09-07,2025-02-20,lab,sault area hospital,36,2,62,3,56,0,0,0,0,0,0,56,0,53,0,0,0,0,0,53,0,53,0,53,5,53,0,2024
202436,2024-09-07,2025-02-20,lab,thunder bay phl,36,2,31,10,33,0,0,0,0,0,0,33,0,31,0,0,0,0,5,31,0,31,0,31,0,31,0,2024
202436,2024-09-07,2025-02-20,province,on,36,2,5813,956,4929,9,3,4,5,9,0,4932,13,3532,1,3,12,1,51,3531,15,3556,9,3557,225,2298,9,2024
202436,2024-09-07,2025-02-20,province,mb,36,2,1136,215,414,1,0,0,1,1,0,414,0,78,3,0,1,2,0,78,2,97,0,78,25,97,0,2024
202436,2024-09-07,2025-02-20,province,sk,36,2,1312,168,828,7,0,0,5,5,2,759,1,322,1,1,0,1,0,322,3,322,0,322,60,322,2,2024
202436,2024-09-07,2025-02-20,province,ab,36,2,3290,393,1021,5,4,1,0,5,0,898,1,898,2,3,3,0,0,896,7,845,0,887,100,898,2,2024
202436,2024-09-07,2025-02-20,region,prairies,36,2,5738,776,2263,13,4,1,6,11,2,2071,2,1298,6,4,4,3,0,1296,12,1264,0,1287,185,1317,4,2024
202436,2024-09-07,2025-02-20,province,bc,36,2,2807,535,2683,41,16,6,3,41,0,2709,2,715,1,1,3,7,0,715,9,715,4,712,86,712,0,2024
202436,2024-09-07,2025-02-20,province,yt,36,2,33,6,24,0,0,0,0,0,0,24,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024
202436,2024-09-07,2025-02-20,province,nt,36,2,42,10,42,0,0,0,0,0,0,42,0,NA,NA,NA,NA,NA,NA,42,0,42,0,42,16,NA,NA,2024
202436,2024-09-07,2025-02-20,province,nu,36,2,91,5,80,1,0,1,0,1,0,80,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024
202436,2024-09-07,2025-02-20,region,territories,36,2,166,21,146,1,0,1,0,1,0,146,0,NA,NA,NA,NA,NA,NA,42,0,42,0,42,16,NA,NA,2024
202436,2024-09-07,2025-02-20,nation,ca,36,2,27160,4971,18364,88,23,12,34,82,6,17106,77,7534,21,13,23,19,51,7590,66,7556,18,7644,773,6244,36,2024
202437,2024-09-14,2025-02-20,province,nl,37,3,566,89,478,0,0,0,0,0,0,478,0,478,0,0,0,8,0,478,6,478,1,478,74,478,0,2024
202437,2024-09-14,2025-02-20,province,pe,37,3,130,16,42,0,0,0,0,0,0,42,0,16,0,0,0,0,0,16,1,16,0,16,7,16,1,2024
202437,2024-09-14,2025-02-20,province,ns,37,3,1331,239,1258,1,0,0,1,1,0,1171,1,54,0,0,0,0,0,54,2,54,0,54,14,64,0,2024
202437,2024-09-14,2025-02-20,province,nb,37,3,1158,198,776,0,0,0,0,0,0,776,0,150,0,0,0,0,0,150,3,150,0,150,26,150,3,2024
202437,2024-09-14,2025-02-20,region,atlantic,37,3,3185,542,2554,1,0,0,1,1,0,2467,1,698,0,0,0,8,0,698,12,698,1,698,121,708,4,2024
202437,2024-09-14,2025-02-20,lab,région nord est,37,3,1647,369,1411,0,0,0,0,0,0,602,1,119,1,1,0,0,0,119,2,111,0,119,28,119,1,2024
202437,2024-09-14,2025-02-20,lab,québec chaudière appalaches,37,3,1784,344,1180,3,0,0,1,1,2,1180,6,593,0,1,0,0,0,607,9,593,1,618,113,537,10,2024
202437,2024-09-14,2025-02-20,lab,centre du québec,37,3,2362,600,787,0,0,0,0,0,0,563,16,34,0,0,0,1,0,34,1,34,0,34,9,37,2,2024
202437,2024-09-14,2025-02-20,lab,montréal laval,37,3,2146,405,1564,4,0,0,4,4,0,1381,28,821,8,6,4,1,0,821,4,821,0,852,93,821,9,2024
202437,2024-09-14,2025-02-20,lab,ouest du québec,37,3,1590,406,770,4,0,0,3,3,1,770,7,18,0,0,0,0,0,18,1,18,0,18,7,18,1,2024
202437,2024-09-14,2025-02-20,lab,montérégie,37,3,1559,372,1265,0,0,0,0,0,0,1265,17,2,0,0,0,0,0,2,0,2,0,9,0,2,0,2024
202437,2024-09-14,2025-02-20,province,qc,37,3,11088,2496,6977,11,0,0,8,8,3,5761,75,1587,9,8,4,2,0,1601,17,1579,1,1650,250,1534,23,2024
202437,2024-09-14,2025-02-20,lab,ottawa phl,37,3,196,85,116,1,0,1,0,1,0,116,0,79,0,0,0,0,6,79,0,79,0,79,6,79,0,2024
202437,2024-09-14,2025-02-20,lab,eorla,37,3,777,93,469,0,0,0,0,0,0,469,7,39,0,0,0,0,0,39,0,39,0,39,6,39,0,2024
202437,2024-09-14,2025-02-20,lab,kingston phl,37,3,217,86,100,0,0,0,0,0,0,100,0,64,0,0,0,0,0,64,0,64,0,64,20,64,0,2024
202437,2024-09-14,2025-02-20,lab,peterborough phl,37,3,48,19,86,0,0,0,0,0,0,86,2,52,0,0,0,0,1,52,0,52,0,52,5,52,0,2024
202437,2024-09-14,2025-02-20,lab,cphl toronto,37,3,671,228,822,2,3,4,0,2,0,822,0,710,0,0,0,0,19,710,4,710,1,710,95,710,6,2024
202437,2024-09-14,2025-02-20,lab,uhn mount sinai hospital,37,3,896,84,761,1,0,0,1,1,0,761,1,68,1,1,1,0,0,68,0,68,0,68,4,68,0,2024
202437,2024-09-14,2025-02-20,lab,sick kids hospital toronto,37,3,169,13,159,0,0,0,0,0,0,159,1,159,1,2,0,0,0,159,1,159,0,159,38,159,0,2024
202437,2024-09-14,2025-02-20,lab,shared hospital laboratory,37,3,1293,148,976,6,4,1,1,6,0,977,8,953,0,0,0,0,9,953,3,976,1,976,68,976,1,2024
202437,2024-09-14,2025-02-20,lab,hamilton phl,37,3,123,53,137,0,0,0,0,0,0,137,0,93,0,0,0,0,5,93,0,93,1,93,11,93,0,2024
202437,2024-09-14,2025-02-20,lab,st josephs hamilton,37,3,1526,176,1383,8,0,0,8,8,0,1383,6,1383,0,0,0,0,0,1383,5,1383,2,1383,121,0,0,2024
202437,2024-09-14,2025-02-20,lab,london phl,37,3,400,165,397,0,0,1,0,0,0,397,0,330,0,0,0,0,4,330,3,330,0,330,28,330,1,2024
202437,2024-09-14,2025-02-20,lab,st josephs london,37,3,577,98,56,1,0,0,1,1,0,56,0,56,0,0,0,0,0,56,1,56,1,56,6,46,1,2024
202437,2024-09-14,2025-02-20,lab,orillia phl,37,3,25,18,20,0,0,0,0,0,0,20,0,9,0,0,0,0,0,9,0,9,0,9,2,9,0,2024
202437,2024-09-14,2025-02-20,lab,sudbury phl,37,3,8,4,9,0,0,0,0,0,0,9,0,6,0,0,0,0,0,6,0,6,0,6,0,6,0,2024
202437,2024-09-14,2025-02-20,lab,timmins phl,37,3,37,13,39,0,0,0,0,0,0,39,0,28,0,0,0,0,2,28,0,28,0,28,5,28,0,2024
202437,2024-09-14,2025-02-20,lab,sault ste marie phl,37,3,2,0,8,0,0,0,0,0,0,8,0,8,0,0,0,0,0,8,0,8,0,8,0,8,0,2024
202437,2024-09-14,2025-02-20,lab,sault area hospital,37,3,78,5,73,0,0,0,0,0,0,73,0,63,0,0,0,0,0,63,0,63,0,63,3,63,1,2024
202437,2024-09-14,2025-02-20,lab,thunder bay phl,37,3,46,10,42,0,0,0,0,0,0,42,0,32,0,0,0,0,0,32,0,32,0,32,2,32,0,2024
202437,2024-09-14,2025-02-20,province,on,37,3,7089,1298,5653,19,7,7,11,19,0,5654,25,4132,2,3,1,0,46,4132,17,4155,6,4155,420,2762,10,2024
202437,2024-09-14,2025-02-20,province,mb,37,3,1118,183,424,3,0,0,3,3,0,424,0,80,1,0,1,1,0,80,1,100,0,80,21,100,1,2024
202437,2024-09-14,2025-02-20,province,sk,37,3,1491,190,938,9,1,0,6,7,2,847,4,354,0,3,1,0,0,354,1,354,0,354,53,354,0,2024
202437,2024-09-14,2025-02-20,province,ab,37,3,3571,415,1087,8,5,0,1,6,2,935,3,934,3,2,0,0,0,932,9,845,7,912,147,934,4,2024
202437,2024-09-14,2025-02-20,region,prairies,37,3,6180,788,2449,20,6,0,10,16,4,2206,7,1368,4,5,2,1,0,1366,11,1299,7,1346,221,1388,5,2024
202437,2024-09-14,2025-02-20,province,bc,37,3,2919,551,2832,59,32,2,3,57,2,2826,9,713,3,2,2,3,0,713,5,713,6,704,110,704,7,2024
202437,2024-09-14,2025-02-20,province,yt,37,3,56,13,43,0,0,0,0,0,0,42,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024
202437,2024-09-14,2025-02-20,province,nt,37,3,37,7,37,1,1,0,0,1,0,37,0,NA,NA,NA,NA,NA,NA,37,0,37,0,37,11,NA,NA,2024
202437,2024-09-14,2025-02-20,province,nu,37,3,97,9,65,1,0,0,0,0,1,65,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024
202437,2024-09-14,2025-02-20,region,territories,37,3,190,29,145,2,1,0,0,1,1,144,1,NA,NA,NA,NA,NA,NA,37,0,37,0,37,11,NA,NA,2024
202437,2024-09-14,2025-02-20,nation,ca,37,3,30651,5704,20610,112,46,9,33,102,10,19058,118,8498,18,18,9,14,46,8547,62,8481,21,8590,1133,7096,49,2024
202438,2024-09-21,2025-02-20,province,nl,38,4,775,101,641,0,0,0,0,0,0,641,0,641,2,0,0,4,0,641,5,641,1,641,150,641,2,2024
202438,2024-09-21,2025-02-20,province,pe,38,4,136,15,42,0,0,0,0,0,0,42,0,11,0,0,0,0,0,11,0,11,0,11,7,11,2,2024
202438,2024-09-21,2025-02-20,province,ns,38,4,1339,279,1272,1,0,0,1,1,0,1177,0,42,0,0,0,0,0,42,0,42,0,42,13,42,1,2024
202438,2024-09-21,2025-02-20,province,nb,38,4,1272,204,859,0,0,0,0,0,0,859,0,153,0,1,2,1,0,153,5,153,0,153,47,153,5,2024
202438,2024-09-21,2025-02-20,region,atlantic,38,4,3522,599,2814,1,0,0,1,1,0,2719,0,847,2,1,2,5,0,847,10,847,1,847,217,847,10,2024
202438,2024-09-21,2025-02-20,lab,région nord est,38,4,1621,349,1385,0,0,0,0,0,0,663,1,119,0,1,1,1,0,119,0,112,1,119,25,119,2,2024
202438,2024-09-21,2025-02-20,lab,québec chaudière appalaches,38,4,1880,317,1141,3,0,0,0,0,3,1141,12,546,1,1,0,1,0,562,7,546,0,573,142,493,17,2024
202438,2024-09-21,2025-02-20,lab,centre du québec,38,4,2686,715,853,4,0,0,4,4,0,616,18,38,0,1,0,0,0,38,1,38,0,38,13,39,3,2024
202438,2024-09-21,2025-02-20,lab,montréal laval,38,4,2130,391,1607,7,0,0,7,7,0,1463,24,860,6,7,5,2,0,860,12,864,3,884,134,860,8,2024
202438,2024-09-21,2025-02-20,lab,ouest du québec,38,4,1770,527,813,4,0,0,3,3,1,812,11,13,1,0,0,0,0,13,0,13,0,14,4,13,0,2024
202438,2024-09-21,2025-02-20,lab,montérégie,38,4,1715,425,1353,1,0,0,1,1,0,1353,10,8,0,0,0,0,0,8,0,8,0,16,1,8,0,2024
202438,2024-09-21,2025-02-20,province,qc,38,4,11802,2724,7152,19,0,0,15,15,4,6048,76,1584,8,10,6,4,0,1600,20,1581,4,1644,319,1532,30,2024
202438,2024-09-21,2025-02-20,lab,ottawa phl,38,4,132,44,106,0,0,0,0,0,0,106,0,72,0,0,0,0,1,72,0,72,0,72,15,72,0,2024
202438,2024-09-21,2025-02-20,lab,eorla,38,4,701,92,437,2,0,0,2,2,0,437,5,48,0,0,0,0,0,48,1,48,0,48,8,48,0,2024
202438,2024-09-21,2025-02-20,lab,kingston phl,38,4,201,57,105,1,1,0,0,1,0,105,0,66,0,0,0,0,0,66,0,66,0,66,21,66,1,2024
202438,2024-09-21,2025-02-20,lab,peterborough phl,38,4,97,55,128,1,0,1,0,1,0,128,2,83,0,0,0,0,1,83,1,83,0,83,24,83,0,2024
202438,2024-09-21,2025-02-20,lab,cphl toronto,38,4,762,207,799,2,2,0,0,2,0,799,0,702,0,0,0,0,12,703,5,702,4,702,159,702,1,2024
202438,2024-09-21,2025-02-20,lab,uhn mount sinai hospital,38,4,872,131,787,2,0,0,2,2,0,787,0,85,0,0,0,0,0,85,0,85,0,85,5,85,0,2024
202438,2024-09-21,2025-02-20,lab,sick kids hospital toronto,38,4,108,9,124,0,0,0,0,0,0,124,2,124,1,1,0,0,0,124,1,124,0,124,49,124,2,2024
202438,2024-09-21,2025-02-20,lab,shared hospital laboratory,38,4,1360,131,996,2,2,0,0,2,0,997,2,987,0,0,0,0,15,987,1,995,1,995,84,995,0,2024
202438,2024-09-21,2025-02-20,lab,hamilton phl,38,4,72,24,97,0,0,0,0,0,0,97,0,90,0,0,0,0,5,90,2,90,0,90,23,90,0,2024
202438,2024-09-21,2025-02-20,lab,st josephs hamilton,38,4,1595,209,1423,6,0,0,5,5,1,1423,6,1423,0,0,4,0,0,1423,2,1423,4,1423,205,0,0,2024
202438,2024-09-21,2025-02-20,lab,london phl,38,4,408,205,330,0,0,0,0,0,0,330,1,247,0,0,0,0,2,248,1,247,1,247,29,247,0,2024
202438,2024-09-21,2025-02-20,lab,st josephs london,38,4,549,82,73,0,0,0,0,0,0,73,2,72,0,0,0,0,1,73,1,73,0,73,14,73,0,2024
202438,2024-09-21,2025-02-20,lab,orillia phl,38,4,9,2,5,0,0,0,0,0,0,5,0,5,0,0,0,0,0,5,0,5,0,5,0,5,0,2024
202438,2024-09-21,2025-02-20,lab,sudbury phl,38,4,23,12,26,0,0,0,0,0,0,26,0,15,0,0,0,0,0,15,0,15,0,15,0,15,0,2024
202438,2024-09-21,2025-02-20,lab,timmins phl,38,4,44,22,44,0,0,0,0,0,0,44,0,25,0,0,0,0,1,25,0,25,0,25,4,25,0,2024
202438,2024-09-21,2025-02-20,lab,sault ste marie phl,38,4,7,4,9,0,0,0,0,0,0,9,0,9,0,0,0,0,0,9,0,9,0,9,0,9,0,2024
202438,2024-09-21,2025-02-20,lab,sault area hospital,38,4,79,5,75,0,0,0,0,0,0,75,0,68,0,0,0,0,0,68,1,68,0,68,11,68,1,2024
202438,2024-09-21,2025-02-20,lab,thunder bay phl,38,4,28,10,28,0,0,0,0,0,0,28,0,25,0,0,0,0,1,25,0,25,0,25,4,25,0,2024
202438,2024-09-21,2025-02-20,province,on,38,4,7047,1301,5592,16,5,1,9,15,1,5593,20,4146,1,1,4,0,39,4149,16,4155,10,4155,655,2732,5,2024
202438,2024-09-21,2025-02-20,province,mb,38,4,1105,199,290,0,0,0,0,0,0,290,0,67,0,0,1,1,0,67,2,91,0,67,28,91,0,2024
202438,2024-09-21,2025-02-20,province,sk,38,4,1624,248,1060,3,1,0,0,1,2,952,1,441,0,0,0,1,0,441,5,441,1,441,77,441,0,2024
202438,2024-09-21,2025-02-20,province,ab,38,4,4070,497,1106,12,6,2,1,9,3,990,2,990,4,2,2,0,0,990,10,903,0,977,212,990,5,2024
202438,2024-09-21,2025-02-20,region,prairies,38,4,6799,944,2456,15,7,2,1,10,5,2232,3,1498,4,2,3,2,0,1498,17,1435,1,1485,317,1522,5,2024
