Category,Indicator name,Description,Definition (US),Definition (global),US item,Global item,US indicator start,US indicator end,Global indicator start,Global indicator end
Vaccines,vaccinated_or_accept,"Percentage who have either already received a COVID vaccine or would definitely or probably choose to get vaccinated, if a vaccine were offered to them today.","(V1 == ‘yes’ | (V3 == ‘yes, definitely’ | V3 == ‘yes, probably’)) / (any response to V3 | (V1 == 'yes'))","(V1 == ‘yes’ | (V3 == ‘yes, definitely’ | V3 == ‘yes, probably’)) / (any response to V3 | (V1 == 'yes'))","V1, V3","V1, V3",2020-12-20,2021-08-07,2021-01-10,2021-09-04
Vaccines,accept_vaccine_defyes,Percentage who would definitely choose to get vaccinated,"V3|V3a == 'yes, definitely would' / any response to V3|V3a","V3|V3a == 'yes, definitely would' / any response to V3|V3a",V3|V3a,V3|V3a,2021-01-03,2021-08-07,2021-01-10,2021-09-04
Vaccines,accept_vaccine_probyes,Percentage who would probably choose to get vaccinated,"V3|V3a == 'yes, probably would' / any response to V3|V3a","V3|V3a == 'yes, probably would' / any response to V3|V3a",V3|V3a,V3|V3a,2021-01-03,2021-08-07,2021-01-10,2021-09-04
Vaccines,accept_vaccine_probno,Percentage would probably not choose to get vaccinated,"V3|V3a == 'no, probably would not' / any response to V3|V3a","V3|V3a == 'no, probably would not' / any response to V3|V3a",V3|V3a,V3|V3a,2021-01-03,2021-08-07,2021-01-10,2021-09-04
Vaccines,accept_vaccine_defno,Percentage would definitely not choose to get vaccinated,"V3|V3a == 'no, definitely would not' / any response to V3|V3a","V3|V3a == 'no, definitely would not' / any response to V3|V3a",V3|V3a,V3|V3a,2021-01-03,2021-08-07,2021-01-10,2021-09-04
Vaccines,vaccine_likely_friends,Percentage more likely to get vaccinated if recommended by friends & family,V4 == 'more likely friends & family' / any response to V4,V4 == 'more likely friends & family' / any response to V4,V4,V4,2021-01-03,2021-08-07,2021-01-10,2021-09-04
Vaccines,vaccine_likely_local_health,Percentage more likely to get vaccinated if recommended by local healthcare workers,V4 == 'more likely healthcare' / any response to V4,V4 == 'more likely healthcare' / any response to V4,V4,V4,2021-01-03,2021-02-20,2021-01-10,2021-02-27
Vaccines,vaccine_likely_who,Percentage more likely to get vaccinated if recommended by WHO,V4 == 'more likely WHO' / any response to V4,V4 == 'more likely WHO' / any response to V4,V4,V4,2021-01-03,2021-08-07,2021-01-10,2021-09-04
Vaccines,vaccine_likely_govt_health,Percentage more likely to get vaccinated if recommended by government health officials,V4 == 'more likely govt' / any response to V4,V4 == 'more likely govt' / any response to V4,V4,V4,2021-01-03,2021-08-07,2021-01-10,2021-09-04
Vaccines,vaccine_likely_politicians,Percentage more likely to get vaccinated if recommended by politicians,V4 == 'more likely politicians' / any response to V4,V4 == 'more likely politicians' / any response to V4,V4,V4,2021-01-03,2021-08-07,2021-01-10,2021-09-04
Vaccines,vaccine_likely_doctors,Percentage more likely to get vaccinated if recommended by doctors and other health professionals,V4 == 'more likely doctors' / any response V4,V4 == 'more likely doctors' / any response V4,V4,V4,2021-02-07,2021-08-07,2021-01-31,2021-09-04
Vaccines,worried_vaccine_sideeffects,Percentage very or moderately concerned about side effects,(V9 == 'very concerned' | V9 == 'moderately concerned') / any response to V9 ,(V9 == 'very concerned' | V9 == 'moderately concerned') / any response to V9 ,V9,V9,2021-01-10,2022-06-25,2021-01-10,2022-06-25
Vaccines,hesitant_worried_vaccine_sideeffects,Percentage very or moderately concerned about side effects among those who are hesitant,"(V9 == 'very concerned' | V9 == 'moderately concerned') & (V3|V3a == 'no, probably not' | V3|V3a == 'no definitely not')/ (any response to V9 & (V3|V3a == 'no, probably not' | V3|V3a == 'no definitely not'))","(V9 == 'very concerned' | V9 == 'moderately concerned') & (V3|V3a == 'no, probably not' | V3|V3a == 'no definitely not')/ (any response to V9 & (V3|V3a == 'no, probably not' | V3|V3a == 'no definitely not'))","V3|V3a, V9","V3|V3a, V9",2021-01-10,2022-06-25,2021-01-10,2022-06-25
Vaccines,hesitant_vaccine_likely_friends,Percentage more likely to get vaccinated if recommended by friends & family among those who are hesitant,"V4 == 'more likely family & friends'  / (any response to V4 & (V3 == 'no, probably not' | V3 == 'no definitely not'))","V4 == 'more likely family & friends'  / (any response to V4 & (V3 == 'no, probably not' | V3 == 'no definitely not'))","V3, V4","V3, V4",2021-01-03,2021-08-07,2021-01-10,2021-09-04
Vaccines,hesitant_vaccine_likely_local_health,"Percentage more likely 
to get vaccinated if recommended by local healthcare workers among those who are hesitant","V4 == 'more likely healthcare workers' / (any response to V4 & (V3 == 'no, probably not' | V3 == 'no definitely not'))","V4 == 'more likely healthcare workers' / (any response to V4 & (V3 == 'no, probably not' | V3 == 'no definitely not'))","V3, V4","V3, V4",2021-01-03,2021-02-20,2021-01-10,2021-02-27
Vaccines,hesitant_vaccine_likely_who,Percentage more likely to get vaccinated if recommended by WHO among those who are hesitant,"V4 == 'more likely who' / (any response to V4 & (V3 == 'no, probably not' | V3 == 'no definitely not'))","V4 == 'more likely who' / (any response to V4 & (V3 == 'no, probably not' | V3 == 'no definitely not'))","V3, V4","V3, V4",2021-01-03,2021-08-07,2021-01-10,2021-09-04
Vaccines,hesitant_vaccine_likely_govt,Percentage more likely to get vaccinated if recommended by government health officials among those who are hesitant,"V4 == 'more likely government' / (any response to V4 & (V3 == 'no, probably not' | V3 == 'no definitely not'))","V4 == 'more likely government' / (any response to V4 & (V3 == 'no, probably not' | V3 == 'no definitely not'))","V3, V4","V3, V4",2021-01-03,2021-08-07,2021-01-10,2021-09-04
Vaccines,hesitant_vaccine_likely_politicians,Percentage more likely to get vaccinated if recommended by politicians among those who are hesitant,"V4 == 'more likely politicians') / (any response to V4 & (V3 == 'no, probably not' | V3 == 'no definitely not'))","V4 == 'more likely politicians') / (any response to V4 & (V3 == 'no, probably not' | V3 == 'no definitely not'))","V3, V4","V3, V4",2021-01-03,2021-08-07,2021-01-10,2021-09-04
Vaccines,hesitant_vaccine_likely_doctors,Percentage more likely to get vaccinated if recommended by doctors and other health professionals among those who are hesitant,"V4 == 'more likely doctors' / (any response to V4 & (V3 == 'no, probably not' | V3 == 'no definitely not'))","V4 == 'more likely doctors' / (any response to V4 & (V3 == 'no, probably not' | V3 == 'no definitely not'))","V3, V4","V3, V4",2021-02-07,2021-08-07,2021-01-31,2021-09-04
Vaccines,hesitant_barrier_sideeffects,Percentage of all hesitant respondents (who can to V5 who are concerned about possible side effects of a COVID-19 vaccine,(V5b|V5c == 'I am concerned about possible side effects of a COVID-19 vaccine.') / (any response to V5b|V5c),(V5a|V5b == 'I am concerned about possible side effects of a COVID-19 vaccine.') / (any response to V5a|V5b),V5b|V5c,V5a|V5b,2021-02-07,2022-06-25,2021-01-31,2022-06-25
Vaccines,hesitant_barrier_allergic,Percentage of all hesitant respondents to V5 who are concerned about having an allergic reaction to a COVID-19 vaccine,(V5b|V5c == 'I am concerned about having an allergic reaction to a COVID-19 vaccine.') / (any response to V5b|V5c),NA,V5b|V5c,NA,2021-02-07,2021-08-07,NA,NA
Vaccines,hesitant_barrier_ineffective,Percentage of all hesitant respondents to V5 who don’t know if a COVID-19 vaccine will work,(V5b|V5c ==  'I don’t know if a COVID-19 vaccine will work.') / (any response to V5b|V5c),(V5a|V5b ==  'I don’t know if a COVID-19 vaccine will work.') / (any response to V5a|V5b),V5b|V5c,V5a|V5b,2021-02-07,2022-06-25,2021-01-31,2022-06-25
Vaccines,hesitant_barrier_dontneed,Percentage of all hesitant respondents to V5 who don’t believe they need a COVID-19 vaccine,(V5b|V5c ==  'I don't believe I need a COVID-19 vaccine.') / (any response to V5b|V5c),(V5a|V5b ==  'I don't believe I need a COVID-19 vaccine.') / (any response to V5a|V5b),V5b|V5c,V5a|V5b,2021-02-07,2022-06-25,2021-01-31,2022-06-25
Vaccines,hesitant_barrier_dislike_vaccines,Percentage of all hesitant respondents to V5 who don’t like vaccines,(V5b|V5c ==  'I don't like vaccines.') / (any response to V5b|V5c),(V5a|V5b ==  'I don't like vaccines.') / (any response to V5a|V5b),V5b|V5c,V5a|V5b,2021-02-07,2021-12-25,2021-01-31,2021-12-25
Vaccines,hesitant_barrier_dislike_vaccines_generally,Percentage of all hesitant respondents to V5 who don’t like vaccines generally,(V5b|V5c ==  'I don't like vaccines generally.') / (any response to V5b|V5c),NA,V5b|V5c,NA,2021-12-19,2022-06-25,NA,NA
Vaccines,hesitant_barrier_not_recommended,Percentage of all hesitant respondents to V5 whose doctors have not recommended it,(V5b|V5c ==  'My doctor has not recommended it.') / (any response to V5b|V5c),NA,V5b|V5c,NA,2021-02-07,2021-08-07,NA,NA
Vaccines,hesitant_barrier_wait_safety,Percentage of all hesitant respondents to V5 who plan to wait and see if it is safe and may get it later,(V5b|V5c == 'I plan to wait and see if it is safe and may get it later.') / (any response to V5b|V5c),(V5a|V5b == 'I plan to wait and see if it is safe and may get it later.') / (any response to V5a|V5b),V5b|V5c,V5a|V5b,2021-02-07,2022-06-25,2021-01-31,2022-06-25
Vaccines,hesitant_barrier_low_priority,Percentage of all hesitant respondents to V5 who think other people need it more than they do right now,(V5b|V5c == 'I think other people need it more than I do right now.') / (any response to V5b|V5c),(V5a|V5b == 'I think other people need it more than I do right now.') / (any response to V5a|V5b),V5b|V5c,V5a|V5b,2021-02-07,2022-06-25,2021-01-31,2022-06-25
Vaccines,hesitant_barrier_cost,Percentage of all hesitant respondents to V5 who are concerned about the cost of a COVID-19 vaccine,(V5b|V5c ==  'I am concerned about the cost of a COVID-19 vaccine.') / (any response to V5b|V5c),(V5a|V5b ==  'I am concerned about the cost of a COVID-19 vaccine.') / (any response to V5a|V5b),V5b|V5c,V5a|V5b,2021-02-07,2022-06-25,2021-01-31,2022-06-25
Vaccines,hesitant_barrier_distrust_vaccines,Percentage of all hesitant respondents to V5 who don’t trust COVID-19 vaccines,(# V5b or V5c:  “I don't trust COVID-19 vaccines”) / (# V5b or V5c any response),NA,V5b|V5c,NA,2021-02-07,2022-06-25,NA,NA
Vaccines,hesitant_barrier_religious,Percentage of all hesitant respondents to V5 who say a COVID-19 vaccine is against their religious beliefs,(V5b|V5c == 'It is against my religious beliefs.') / (any response to V5b|V5c),(V5a|V5b == 'It is against my religious beliefs.') / (any response to V5a|V5b),V5b|V5c,V5a|V5b,2021-02-07,2022-06-25,2021-01-31,2022-06-25
Vaccines,hesitant_barrier_health_condition,Percentage of all hesitant respondents to V5 who have a health condition and are concerned about the safety of the vaccine for people with their condition,"(V5b|V5c == 'I have a health condition and am concerned about the safety of the vaccine for
people with my condition.') / (any response to V5b|V5c)",NA,V5b|V5c,NA,2021-02-07,2021-08-07,NA,NA
Vaccines,hesitant_barrier_pregnant,Percentage of all hesitant respondents to V5 who are currently/planning to be pregnant and/or breastfeeding and do not want to get vaccinated at this time,"(V5b|V5c == 'I am currently/planning to be pregnant and/or breastfeeding and do not want to
get vaccinated at this time.') / (any response to V5b|V5c)",NA,V5b|V5c,NA,2021-02-07,2021-08-07,NA,NA
Vaccines,hesitant_barrier_other,Percentage of all hesitant respondents to V5 who have a another barrier to choosing to get a COVID-19 vaccine,(V5b|V5c == 'Other.') / (any response to V5b|V5c),(V5a|V5b == 'Other.') / (any response to V5a|V5b),V5b|V5c,V5a|V5b,2021-02-07,2022-06-25,2021-01-31,2022-06-25
Vaccines,hesitant_dontneed_reason_had_covid,Percentage of all hesitant respondents to V5 AND V6 who have already had COVID-19,(V5b|V5c == 'I don't believe I need a COVID-19 vaccine.') & (V6 == 'I already had COVID-19.')/ (any response to V5b|V5c & any response to V6),(V5a|V5b == 'I don't believe I need a COVID-19 vaccine.') & (V6 == 'I already had COVID-19.')/ (any response to V5a|V5b & any response to V6),"V5b|V5c, V6","V5a|V5b, V6",2021-02-07,2022-06-25,2021-01-31,2022-06-25
Vaccines,hesitant_dontneed_reason_dont_spend_time,Percentage of all hesitant respondents to V5 AND V6 who do not spend time with any high-risk people,(V5b|V5c == 'I don't believe I need a COVID-19 vaccine.') & (V6 == 'I do not spend time with any high-risk people.')/ (any response to V5b|V5c & any response to V6),(V5a|V5b == 'I don't believe I need a COVID-19 vaccine.') & (V6 == 'I do not spend time with any high-risk people.')/ (any response to V5a|V5b & any response to V6),"V5b|V5c, V6","V5a|V5b, V6",2021-02-07,2022-06-25,2021-01-31,2022-06-25
Vaccines,hesitant_dontneed_reason_not_high_risk,Percentage of all hesitant respondents to V5 AND V6 who are not a member of a high-risk group,(V5b|V5c == 'I don't believe I need a COVID-19 vaccine.') & (V6 == 'I am not a member of a high-risk group.')/ (any response to V5b|V5c & any response to V6),(V5a|V5b == 'I don't believe I need a COVID-19 vaccine.') & (V6 == 'I am not a member of a high-risk group.')/ (any response to V5a|V5b & any response to V6),"V5b|V5c, V6","V5a|V5b, V6",2021-02-07,2022-06-25,2021-01-31,2022-06-25
Vaccines,hesitant_dontneed_reason_precautions,Percentage of all hesitant respondents to V5 AND V6 who plan to use masks or other precautions instead,(V5b|V5c == 'I don't believe I need a COVID-19 vaccine.') & (V6 == 'I plan to use masks or other precautions instead.')/ (any response to V5b|V5c & any response to V6),(V5a|V5b == 'I don't believe I need a COVID-19 vaccine.') & (V6 == 'I plan to use masks or other precautions instead.')/ (any response to V5a|V5b & any response to V6),"V5b|V5c, V6","V5a|V5b, V6",2021-02-07,2022-06-25,2021-01-31,2022-06-25
Vaccines,hesitant_dontneed_reason_not_serious,Percentage of all hesitant respondents to V5 AND V6 who don’t believe COVID-19 is a serious illness,(V5b|V5c == 'I don't believe I need a COVID-19 vaccine.') & (V6 == 'I don't believe COVID-19 is a serious illness.')/ (any response to V5b|V5c & any response to V6),(V5a|V5b == 'I don't believe I need a COVID-19 vaccine.') & (V6 == 'I don't believe COVID-19 is a serious illness.')/ (any response to V5a|V5b & any response to V6),"V5b|V5c, V6","V5a|V5b, V6",2021-02-07,2022-06-25,2021-01-31,2022-06-25
Vaccines,hesitant_dontneed_reason_not_beneficial,Percentage of all hesitant respondents to V5 AND V6 who don’t think vaccines are beneficial,(V5b|V5c == 'I don't believe I need a COVID-19 vaccine.') & (V6 == 'I don't think vaccines are beneficial.')/ (any response to V5b|V5c & any response to V6),(V5a|V5b == 'I don't believe I need a COVID-19 vaccine.') & (V6 == 'I don't think vaccines are beneficial.')/ (any response to V5a|V5b & any response to V6),"V5b|V5c, V6","V5a|V5b, V6",2021-02-07,2022-06-25,2021-01-31,2022-06-25
Vaccines,hesitant_dontneed_reason_other,Percentage of all hesitant respondents to V5 AND V6 who don’t think believe they need a COVID-19 vaccine for another reason,(V5b|V5c == 'I don't believe I need a COVID-19 vaccine.') & (V6 == 'Other.')/ (any response to V5b|V5c & any response to V6),(V5a|V5b == 'I don't believe I need a COVID-19 vaccine.') & (V6 == 'Other.')/ (any response to V5a|V5b & any response to V6),"V5b|V5c, V6","V5a|V5b, V6",2021-02-07,2022-06-25,2021-01-31,2022-06-25
Vaccines,barrier_sideeffects,"Percentage of all respondents to V5a, V5b, and V5c who are concerned about possible side effects of a COVID-19 vaccine",(V5a|V5b|V5c == 'I am concerned about possible side effects of a COVID-19 vaccine.') / (any response to V5a|V5b|V5c),(V5a|V5b|V5c == 'I am concerned about possible side effects of a COVID-19 vaccine.') / (any response to V5a|V5b|V5c),V5a|V5b|V5c,V5a|V5b|V5c,2021-02-07,2022-06-25,2021-01-31,2022-06-25
Vaccines,barrier_allergic,"Percentage of all respondents to V5a, V5b, and V5c who are concerned about having an allergic reaction to a COVID-19 vaccine",(V5a|V5b|V5c == 'I am concerned about having an allergic reaction to a COVID-19 vaccine.') / (any response to V5a|V5b|V5c),NA,V5a|V5b|V5c,NA,2021-02-07,2021-08-07,NA,NA
Vaccines,barrier_ineffective,"Percentage of all respondents to V5a, V5b, and V5c who don’t know if a COVID-19 vaccine will work",(V5a|V5b|V5c == 'I don’t know if a COVID-19 vaccine will work.') / (any response to V5a|V5b|V5c),(V5a|V5b|V5c == 'I don’t know if a COVID-19 vaccine will work.') / (any response to V5a|V5b|V5c),V5a|V5b|V5c,V5a|V5b|V5c,2021-02-07,2022-06-25,2021-01-31,2022-06-25
Vaccines,barrier_dontneed,"Percentage of all respondents to V5a, V5b, and V5c who don’t believe they need a COVID-19 vaccine",(V5a|V5b|V5c == 'I don't believe I need a COVID-19 vaccine.') / (any response to V5a|V5b|V5c),(V5a|V5b|V5c == 'I don't believe I need a COVID-19 vaccine.') / (any response to V5a|V5b|V5c),V5a|V5b|V5c,V5a|V5b|V5c,2021-02-07,2022-06-25,2021-01-31,2022-06-25
Vaccines,barrier_dislike_vaccines,"Percentage of all respondents to V5a, V5b, and V5c who don’t like vaccines",(V5a|V5b|V5c == 'I don't like vaccines.') / (any response to V5a|V5b|V5c),(V5a|V5b|V5c == 'I don't like vaccines.') / (any response to V5a|V5b|V5c),V5a|V5b|V5c,V5a|V5b|V5c,2021-02-07,2021-12-25,2021-01-31,2021-12-25
Vaccines,"barrier_distrust_vaccines [US]
barrier_reason_covidvax [GLOBAL]","Estimated percentage of respondents who say they are hesitant to get vaccinated because they do not trust COVID vaccines, among respondents who answered “Yes, probably”, “No, probably not”, or “No, definitely not” when asked if they would get vaccinated if offered (item V3). ",(V5a|V5b|V5c == 'I don't trust COVID-19 vaccines.') / (any response to V5a|V5b|V5c),(V5a|V5b|V5c == 'I don't trust COVID-19 vaccines.') / (any response to V5a|V5b|V5c),V5abc,V5abc,2021-02-07,2022-06-25,2021-12-19,2022-06-25
Vaccines,"barrier_dislike_vaccines_generally [US]
barrier_reason_vaxgeneral [GLOBAL]","Estimated percentage of respondents who say they are hesitant to get vaccinated because they do not like vaccines generally, among respondents who answered “Yes, probably”, “No, probably not”, or “No, definitely not” when asked if they would get vaccinated if offered (item V3). ",(V5a|V5b|V5c == 'I don't like vaccines generally.') / (any response to V5a|V5b|V5c),(V5a|V5b|V5c == 'I don't like vaccines generally.') / (any response to V5a|V5b|V5c),V5abc,V5abc,2021-12-19,2022-06-25,2021-12-19,2022-06-25
Vaccines,barrier_not_recommended,"Percentage of all respondents to V5a, V5b, and V5c whose doctors have not recommended it",(V5a|V5b|V5c == 'My doctor has not recommended it.') / (any response to V5a|V5b|V5c),NA,V5a|V5b|V5c,NA,2021-02-07,2021-08-07,NA,NA
Vaccines,barrier_wait_safety,"Percentage of all respondents to V5a, V5b, and V5c who plan to wait and see if it is safe and may get it later",(V5a|V5b|V5c == 'I plan to wait and see if it is safe and may get it later.') / (any response to V5a|V5b|V5c),(V5a|V5b|V5c == 'I plan to wait and see if it is safe and may get it later.') / (any response to V5a|V5b|V5c),V5a|V5b|V5c,V5a|V5b|V5c,2021-02-07,2022-06-25,2021-01-31,2022-06-25
Vaccines,barrier_low_priority,"Percentage of all respondents to V5a, V5b, and V5c who think other people need it more than they do right now",(V5a|V5b|V5c == 'I think other people need it more than I do right now.') / (any response to V5a|V5b|V5c),"(# V5a, V5b, or V5c:  “I think other people need it more than I do right now.”) / (# V5a, V5b, or V5c any response)",V5a|V5b|V5c,V5a|V5b|V5c,2021-02-07,2022-06-25,2021-01-31,2022-06-25
Vaccines,barrier_cost,"Percentage of all respondents to V5a, V5b, and V5c who are concerned about the cost of a COVID-19 vaccine",(V5a|V5b|V5c == 'I am concerned about the cost of a COVID-19 vaccine.') / (any response to V5a|V5b|V5c),(V5a|V5b|V5c == 'I am concerned about the cost of a COVID-19 vaccine.') / (any response to V5a|V5b|V5c),V5a|V5b|V5c,V5a|V5b|V5c,2021-02-07,2022-06-25,2021-01-31,2022-06-25
Vaccines,barrier_distrust_govt,"Percentage of all respondents to V5a, V5b, and V5c who don’t trust the government",(V5a|V5b|V5c == 'I don't trust the government.') / (any response to V5a|V5b|V5c),(V5a|V5b|V5c == 'I don't trust the government.') / (any response to V5a|V5b|V5c),V5a|V5b|V5c,V5a|V5b|V5c,2021-02-07,2022-06-25,2021-03-02,2022-06-25
Vaccines,barrier_religious,"Percentage of all respondents to V5a, V5b, and V5c who say a COVID-19 vaccine is against their religious beliefs",(V5a|V5b|V5c == 'It is against my religious beliefs.') / (any response to V5a|V5b|V5c),(V5a|V5b|V5c == 'It is against my religious beliefs.') / (any response to V5a|V5b|V5c),V5a|V5b|V5c,V5a|V5b|V5c,2021-02-07,2022-06-25,2021-01-31,2022-06-25
Vaccines,barrier_health_condition,"Percentage of all respondents to V5a, V5b, and V5c who have a health condition and are concerned about the safety of the vaccine for people with their condition","(V5b|V5c == 'I have a health condition and am concerned about the safety of the vaccine for
people with my condition.') / (any response to V5b|V5c)",NA,V5a|V5b|V5c,NA,2021-02-07,2021-08-07,NA,NA
Vaccines,barrier_pregnant,"Percentage of all respondents to V5a, V5b, and V5c who are currently/planning to be pregnant and/or breastfeeding and do not want to get vaccinated at this time","(V5b|V5c == 'I am currently/planning to be pregnant and/or breastfeeding and do not want to
get vaccinated at this time.') / (any response to V5b|V5c)",NA,V5a|V5b|V5c,NA,2021-02-07,2021-08-07,NA,NA
Vaccines,barrier_other,"Percentage of all respondents to V5a, V5b, and V5c who have a another barrier to choosing to get a COVID-19 vaccine",(V5a|V5b|V5c == 'Other.') / (any response to V5a|V5b|V5c),(V5a|V5b|V5c == 'Other.') / (any response to V5a|V5b|V5c),V5a|V5b|V5c,V5a|V5b|V5c,2021-02-07,2022-06-25,2021-01-31,2022-06-25
Vaccines,dontneed_reason_had_covid,"Percentage of all respondents to (V5a, V5b, OR V5c) AND V6 who have already had COVID-19",((V5a|V5b|V5c == 'I don't believe I need a COVID-19 vaccine.') & (V6 == 'I already had COVID-19.))/ (any response to V5a|V5b|V5c & any response to V6),((V5a|V5b|V5c == 'I don't believe I need a COVID-19 vaccine.') & (V6 == 'I already had COVID-19.))/ (any response to V5a|V5b|V5c & any response to V6),"V5a|V5b|V5c, V6","V5a|V5b|V5c, V6",2021-02-07,2022-06-25,2021-01-31,2022-06-25
Vaccines,dontneed_reason_dont_spend_time,"Percentage of all respondents to (V5a, V5b, OR V5c) AND V6 who do not spend time with any high-risk people",((V5a|V5b|V5c == 'I don't believe I need a COVID-19 vaccine.') & (V6 == 'I do not spend time with any high-risk people.'))/ (any response to V5a|V5b|V5c & any response to V6),((V5a|V5b|V5c == 'I don't believe I need a COVID-19 vaccine.') & (V6 == 'I do not spend time with any high-risk people.'))/ (any response to V5a|V5b|V5c & any response to V6),"V5a|V5b|V5c, V6","V5a|V5b|V5c, V6",2021-02-07,2022-06-25,2021-01-31,2022-06-25
Vaccines,dontneed_reason_not_high_risk,"Percentage of all respondents to (V5a, V5b, OR V5c) AND V6 who are not a member of a high-risk group",((V5a|V5b|V5c == 'I don't believe I need a COVID-19 vaccine.') & (V6 == 'I am not a member of a high-risk group.'))/ (any response to V5a|V5b|V5c & any response to V6),((V5a|V5b|V5c == 'I don't believe I need a COVID-19 vaccine.') & (V6 == 'I am not a member of a high-risk group.'))/ (any response to V5a|V5b|V5c & any response to V6),"V5a|V5b|V5c, V6","V5a|V5b|V5c, V6",2021-02-07,2022-06-25,2021-01-31,2022-06-25
Vaccines,dontneed_reason_precautions,"Percentage of all respondents to (V5a, V5b, OR V5c) AND V6 who plan to use masks or other precautions instead",((V5a|V5b|V5c == 'I don't believe I need a COVID-19 vaccine.') & (V6 == 'I plan to use masks or other precautions instead.'))/ (any response to V5a|V5b|V5c & any response to V6),((V5a|V5b|V5c == 'I don't believe I need a COVID-19 vaccine.') & (V6 == 'I plan to use masks or other precautions instead.'))/ (any response to V5a|V5b|V5c & any response to V6),"V5a|V5b|V5c, V6","V5a|V5b|V5c, V6",2021-02-07,2022-06-25,2021-01-31,2022-06-25
Vaccines,dontneed_reason_not_serious,"Percentage of all respondents to (V5a, V5b, OR V5c) AND V6 who don’t believe COVID-19 is a serious illness","((V5a, V5b, or V5c == 'I don't believe I need a COVID-19 vaccine.') & (V6 == 'I don't believe COVID-19 is a serious illness.'))/ (any response to V5a|V5b|V5c & any response to V6)","((V5a, V5b, or V5c == 'I don't believe I need a COVID-19 vaccine.') & (V6 == 'I don't believe COVID-19 is a serious illness.'))/ (any response to V5a|V5b|V5c & any response to V6)","V5a|V5b|V5c, V6","V5a|V5b|V5c, V6",2021-02-07,2022-06-25,2021-01-31,2022-06-25
Vaccines,dontneed_reason_not_beneficial,"Percentage of all respondents to (V5a, V5b, OR V5c) AND V6 who don’t think vaccines are beneficial",((V5a|V5b|V5c == 'I don't believe I need a COVID-19 vaccine.') & (V6 == 'I don't think vaccines are beneficial.')) / (any response to V5a|V5b|V5c & any response to V6),((V5a|V5b|V5c == 'I don't believe I need a COVID-19 vaccine.') & (V6 == 'I don't think vaccines are beneficial.')) / (any response to V5a|V5b|V5c & any response to V6),"V5a|V5b|V5c, V6","V5a|V5b|V5c, V6",2021-02-07,2022-06-25,2021-01-31,2022-06-25
